"SL","Amarsh","Amangrove","Atotal","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
355,32000,89167.32223904,121167.32223904,20.2208,51.5966710136205,71.8174710136205,-18.5832,-47.4180673751824,-66.0012673751824,1.6376,4.17860363843811,5.81620363843811
360,32000,89167.32223904,121167.32223904,20.5056,52.3233846898687,72.8289846898687,-18.5832,-47.4180673751824,-66.0012673751824,1.9224,4.90531731468629,6.82771731468629
365,32000,89167.32223904,121167.32223904,20.7904,53.0500983661168,73.8404983661168,-18.5832,-47.4180673751824,-66.0012673751824,2.2072,5.63203099093445,7.83923099093445
370,32000,89167.32223904,121167.32223904,21.0752,53.776812042365,74.852012042365,-18.5832,-47.4180673751824,-66.0012673751824,2.492,6.35874466718263,8.85074466718263
375,32000,89167.32223904,121167.32223904,21.36,54.5035257186132,75.8635257186132,-18.5832,-47.4180673751824,-66.0012673751824,2.7768,7.08545834343082,9.86225834343081
380,32000,89167.32223904,121167.32223904,21.6448,55.2302393948614,76.8750393948614,-18.5832,-47.4180673751824,-66.0012673751824,3.0616,7.81217201967899,10.873772019679
385,32000,89167.32223904,121167.32223904,21.9296,55.9569530711096,77.8865530711095,-18.5832,-47.4180673751824,-66.0012673751824,3.3464,8.53888569592716,11.8852856959272
390,32000,89167.32223904,121167.32223904,22.2144,56.6836667473577,78.8980667473577,-18.5832,-47.4180673751824,-66.0012673751824,3.6312,9.26559937217534,12.8967993721753
395,32000,89167.32223904,121167.32223904,22.4992,57.4103804236059,79.9095804236059,-18.5832,-47.4180673751824,-66.0012673751824,3.916,9.99231304842353,13.9083130484235
400,32000,89167.32223904,121167.32223904,22.784,58.1370940998541,80.9210940998541,-18.5832,-47.4180673751824,-66.0012673751824,4.2008,10.7190267246717,14.9198267246717
405,32000,89167.32223904,121167.32223904,23.0688,58.8638077761023,81.9326077761023,-18.5832,-47.4180673751824,-66.0012673751824,4.4856,11.4457404009199,15.9313404009199
410,32000,89167.32223904,121167.32223904,23.3536,59.5905214523504,82.9441214523504,-18.5832,-47.4180673751824,-66.0012673751824,4.7704,12.172454077168,16.942854077168
415,32000,89167.32223904,121167.32223904,23.6384,60.3172351285986,83.9556351285986,-18.5832,-47.4180673751824,-66.0012673751824,5.0552,12.8991677534162,17.9543677534162
420,32000,89167.32223904,121167.32223904,23.9232,61.0439488048468,84.9671488048468,-18.5832,-47.4180673751824,-66.0012673751824,5.34,13.6258814296644,18.9658814296644
425,32000,89167.32223904,121167.32223904,24.208,61.770662481095,85.978662481095,-18.5832,-47.4180673751824,-66.0012673751824,5.6248,14.3525951059126,19.9773951059126
430,32000,89167.32223904,121167.32223904,24.4928,62.4973761573431,86.9901761573431,-18.5832,-47.4180673751824,-66.0012673751824,5.9096,15.0793087821608,20.9889087821608
435,32000,89167.32223904,121167.32223904,24.7776,63.2240898335913,88.0016898335913,-18.5832,-47.4180673751824,-66.0012673751824,6.1944,15.8060224584089,22.0004224584089
440,32000,89167.32223904,121167.32223904,25.0624,63.9508035098395,89.0132035098395,-18.5832,-47.4180673751824,-66.0012673751824,6.4792,16.5327361346571,23.0119361346571
445,32000,89167.32223904,121167.32223904,25.3472,64.6775171860877,90.0247171860877,-18.5832,-47.4180673751824,-66.0012673751824,6.764,17.2594498109053,24.0234498109053
450,32000,89167.32223904,121167.32223904,25.632,65.4042308623359,91.0362308623359,-18.5832,-47.4180673751824,-66.0012673751824,7.0488,17.9861634871535,25.0349634871535
455,32000,89167.32223904,121167.32223904,25.9168,66.130944538584,92.047744538584,-18.5832,-47.4180673751824,-66.0012673751824,7.3336,18.7128771634016,26.0464771634016
460,32000,89167.32223904,121167.32223904,26.2016,66.8576582148322,93.0592582148322,-18.5832,-47.4180673751824,-66.0012673751824,7.6184,19.4395908396498,27.0579908396498
465,32000,89167.32223904,121167.32223904,26.4864,67.5843718910804,94.0707718910804,-18.5832,-47.4180673751824,-66.0012673751824,7.9032,20.166304515898,28.069504515898
470,32000,89167.32223904,121167.32223904,26.7712,68.3110855673285,95.0822855673286,-18.5832,-47.4180673751824,-66.0012673751824,8.188,20.8930181921462,29.0810181921462
475,32000,89167.32223904,121167.32223904,27.056,69.0377992435767,96.0937992435767,-18.5832,-47.4180673751824,-66.0012673751824,8.4728,21.6197318683943,30.0925318683943
480,32000,89167.32223904,121167.32223904,27.3408,69.7645129198249,97.1053129198249,-18.5832,-47.4180673751824,-66.0012673751824,8.7576,22.3464455446425,31.1040455446425
485,32000,89167.32223904,121167.32223904,27.6256,70.4912265960731,98.1168265960731,-18.5832,-47.4180673751824,-66.0012673751824,9.0424,23.0731592208907,32.1155592208907
490,32000,89167.32223904,121167.32223904,27.9104,71.2179402723212,99.1283402723212,-18.5832,-47.4180673751824,-66.0012673751824,9.3272,23.7998728971389,33.1270728971389
495,32000,89167.32223904,121167.32223904,28.1952,71.9446539485694,100.139853948569,-18.5832,-47.4180673751824,-66.0012673751824,9.612,24.526586573387,34.138586573387
500,32000,89167.32223904,121167.32223904,28.48,72.6713676248176,101.151367624818,-18.5832,-47.4180673751824,-66.0012673751824,9.8968,25.2533002496352,35.1501002496352
-140,33000,91953.80105901,124953.80105901,-8.2236,-20.9838574016661,-29.2074574016661,-17.6932,-45.1470871369069,-62.8402871369069,-25.9168,-66.1309445385729,-92.0477445385729
-135,33000,91953.80105901,124953.80105901,-7.9299,-20.2344339230352,-28.1643339230352,-17.6932,-45.1470871369069,-62.8402871369069,-25.6231,-65.381521059942,-91.004621059942
-130,33000,91953.80105901,124953.80105901,-7.6362,-19.4850104444042,-27.1212104444042,-17.6932,-45.1470871369069,-62.8402871369069,-25.3294,-64.6320975813111,-89.9614975813111
-125,33000,91953.80105901,124953.80105901,-7.3425,-18.7355869657733,-26.0780869657733,-17.6932,-45.1470871369069,-62.8402871369069,-25.0357,-63.8826741026801,-88.9183741026801
-120,33000,91953.80105901,124953.80105901,-7.0488,-17.9861634871424,-25.0349634871424,-17.6932,-45.1470871369069,-62.8402871369069,-24.742,-63.1332506240492,-87.8752506240492
-115,33000,91953.80105901,124953.80105901,-6.7551,-17.2367400085114,-23.9918400085114,-17.6932,-45.1470871369069,-62.8402871369069,-24.4483,-62.3838271454183,-86.8321271454183
-110,33000,91953.80105901,124953.80105901,-6.4614,-16.4873165298805,-22.9487165298805,-17.6932,-45.1470871369069,-62.8402871369069,-24.1546,-61.6344036667873,-85.7890036667874
-105,33000,91953.80105901,124953.80105901,-6.1677,-15.7378930512496,-21.9055930512496,-17.6932,-45.1470871369069,-62.8402871369069,-23.8609,-60.8849801881564,-84.7458801881564
-100,33000,91953.80105901,124953.80105901,-5.874,-14.9884695726186,-20.8624695726186,-17.6932,-45.1470871369069,-62.8402871369069,-23.5672,-60.1355567095255,-83.7027567095255
-95,33000,91953.80105901,124953.80105901,-5.5803,-14.2390460939877,-19.8193460939877,-17.6932,-45.1470871369069,-62.8402871369069,-23.2735,-59.3861332308946,-82.6596332308946
-90,33000,91953.80105901,124953.80105901,-5.2866,-13.4896226153568,-18.7762226153568,-17.6932,-45.1470871369069,-62.8402871369069,-22.9798,-58.6367097522636,-81.6165097522636
-85,33000,91953.80105901,124953.80105901,-4.9929,-12.7401991367258,-17.7330991367258,-17.6932,-45.1470871369069,-62.8402871369069,-22.6861,-57.8872862736327,-80.5733862736327
-80,33000,91953.80105901,124953.80105901,-4.6992,-11.9907756580949,-16.6899756580949,-17.6932,-45.1470871369069,-62.8402871369069,-22.3924,-57.1378627950018,-79.5302627950018
-75,33000,91953.80105901,124953.80105901,-4.4055,-11.241352179464,-15.646852179464,-17.6932,-45.1470871369069,-62.8402871369069,-22.0987,-56.3884393163708,-78.4871393163708
-70,33000,91953.80105901,124953.80105901,-4.1118,-10.491928700833,-14.603728700833,-17.6932,-45.1470871369069,-62.8402871369069,-21.805,-55.6390158377399,-77.4440158377399
-65,33000,91953.80105901,124953.80105901,-3.8181,-9.74250522220211,-13.5606052222021,-17.6932,-45.1470871369069,-62.8402871369069,-21.5113,-54.889592359109,-76.400892359109
-60,33000,91953.80105901,124953.80105901,-3.5244,-8.99308174357118,-12.5174817435712,-17.6932,-45.1470871369069,-62.8402871369069,-21.2176,-54.140168880478,-75.357768880478
-55,33000,91953.80105901,124953.80105901,-3.2307,-8.24365826494025,-11.4743582649402,-17.6932,-45.1470871369069,-62.8402871369069,-20.9239,-53.3907454018471,-74.3146454018471
-50,33000,91953.80105901,124953.80105901,-2.937,-7.49423478630931,-10.4312347863093,-17.6932,-45.1470871369069,-62.8402871369069,-20.6302,-52.6413219232162,-73.2715219232162
-45,33000,91953.80105901,124953.80105901,-2.6433,-6.74481130767838,-9.38811130767838,-17.6932,-45.1470871369069,-62.8402871369069,-20.3365,-51.8918984445852,-72.2283984445852
-40,33000,91953.80105901,124953.80105901,-2.3496,-5.99538782904745,-8.34498782904745,-17.6932,-45.1470871369069,-62.8402871369069,-20.0428,-51.1424749659543,-71.1852749659543
-35,33000,91953.80105901,124953.80105901,-2.0559,-5.24596435041652,-7.30186435041652,-17.6932,-45.1470871369069,-62.8402871369069,-19.7491,-50.3930514873234,-70.1421514873234
-30,33000,91953.80105901,124953.80105901,-1.7622,-4.49654087178559,-6.25874087178559,-17.6932,-45.1470871369069,-62.8402871369069,-19.4554,-49.6436280086924,-69.0990280086924
-25,33000,91953.80105901,124953.80105901,-1.4685,-3.74711739315466,-5.21561739315466,-17.6932,-45.1470871369069,-62.8402871369069,-19.1617,-48.8942045300615,-68.0559045300615
-20,33000,91953.80105901,124953.80105901,-1.1748,-2.99769391452373,-4.17249391452373,-17.6932,-45.1470871369069,-62.8402871369069,-18.868,-48.1447810514306,-67.0127810514306
-15,33000,91953.80105901,124953.80105901,-0.8811,-2.2482704358928,-3.1293704358928,-17.6932,-45.1470871369069,-62.8402871369069,-18.5743,-47.3953575727996,-65.9696575727996
-10,33000,91953.80105901,124953.80105901,-0.5874,-1.49884695726186,-2.08624695726186,-17.6932,-45.1470871369069,-62.8402871369069,-18.2806,-46.6459340941687,-64.9265340941687
-5,33000,91953.80105901,124953.80105901,-0.2937,-0.749423478630932,-1.04312347863093,-17.6932,-45.1470871369069,-62.8402871369069,-17.9869,-45.8965106155378,-63.8834106155378
0,33000,91953.80105901,124953.80105901,0,0,0,-17.6932,-45.1470871369069,-62.8402871369069,-17.6932,-45.1470871369069,-62.8402871369069
5,33000,91953.80105901,124953.80105901,0.2937,0.749423478630932,1.04312347863093,-17.6932,-45.1470871369069,-62.8402871369069,-17.3995,-44.3976636582759,-61.7971636582759
10,33000,91953.80105901,124953.80105901,0.5874,1.49884695726186,2.08624695726186,-17.6932,-45.1470871369069,-62.8402871369069,-17.1058,-43.648240179645,-60.754040179645
15,33000,91953.80105901,124953.80105901,0.8811,2.2482704358928,3.1293704358928,-17.6932,-45.1470871369069,-62.8402871369069,-16.8121,-42.8988167010141,-59.7109167010141
20,33000,91953.80105901,124953.80105901,1.1748,2.99769391452373,4.17249391452373,-17.6932,-45.1470871369069,-62.8402871369069,-16.5184,-42.1493932223831,-58.6677932223831
25,33000,91953.80105901,124953.80105901,1.4685,3.74711739315466,5.21561739315466,-17.6932,-45.1470871369069,-62.8402871369069,-16.2247,-41.3999697437522,-57.6246697437522
30,33000,91953.80105901,124953.80105901,1.7622,4.49654087178559,6.25874087178559,-17.6932,-45.1470871369069,-62.8402871369069,-15.931,-40.6505462651213,-56.5815462651213
35,33000,91953.80105901,124953.80105901,2.0559,5.24596435041652,7.30186435041652,-17.6932,-45.1470871369069,-62.8402871369069,-15.6373,-39.9011227864903,-55.5384227864903
40,33000,91953.80105901,124953.80105901,2.3496,5.99538782904745,8.34498782904745,-17.6932,-45.1470871369069,-62.8402871369069,-15.3436,-39.1516993078594,-54.4952993078594
45,33000,91953.80105901,124953.80105901,2.6433,6.74481130767838,9.38811130767838,-17.6932,-45.1470871369069,-62.8402871369069,-15.0499,-38.4022758292285,-53.4521758292285
50,33000,91953.80105901,124953.80105901,2.937,7.49423478630931,10.4312347863093,-17.6932,-45.1470871369069,-62.8402871369069,-14.7562,-37.6528523505975,-52.4090523505975
55,33000,91953.80105901,124953.80105901,3.2307,8.24365826494025,11.4743582649402,-17.6932,-45.1470871369069,-62.8402871369069,-14.4625,-36.9034288719666,-51.3659288719666
60,33000,91953.80105901,124953.80105901,3.5244,8.99308174357118,12.5174817435712,-17.6932,-45.1470871369069,-62.8402871369069,-14.1688,-36.1540053933357,-50.3228053933357
65,33000,91953.80105901,124953.80105901,3.8181,9.74250522220211,13.5606052222021,-17.6932,-45.1470871369069,-62.8402871369069,-13.8751,-35.4045819147047,-49.2796819147048
70,33000,91953.80105901,124953.80105901,4.1118,10.491928700833,14.603728700833,-17.6932,-45.1470871369069,-62.8402871369069,-13.5814,-34.6551584360738,-48.2365584360738
75,33000,91953.80105901,124953.80105901,4.4055,11.241352179464,15.646852179464,-17.6932,-45.1470871369069,-62.8402871369069,-13.2877,-33.9057349574429,-47.1934349574429
80,33000,91953.80105901,124953.80105901,4.6992,11.9907756580949,16.6899756580949,-17.6932,-45.1470871369069,-62.8402871369069,-12.994,-33.156311478812,-46.150311478812
85,33000,91953.80105901,124953.80105901,4.9929,12.7401991367258,17.7330991367258,-17.6932,-45.1470871369069,-62.8402871369069,-12.7003,-32.406888000181,-45.107188000181
90,33000,91953.80105901,124953.80105901,5.2866,13.4896226153568,18.7762226153568,-17.6932,-45.1470871369069,-62.8402871369069,-12.4066,-31.6574645215501,-44.0640645215501
95,33000,91953.80105901,124953.80105901,5.5803,14.2390460939877,19.8193460939877,-17.6932,-45.1470871369069,-62.8402871369069,-12.1129,-30.9080410429192,-43.0209410429192
100,33000,91953.80105901,124953.80105901,5.874,14.9884695726186,20.8624695726186,-17.6932,-45.1470871369069,-62.8402871369069,-11.8192,-30.1586175642882,-41.9778175642882
105,33000,91953.80105901,124953.80105901,6.1677,15.7378930512496,21.9055930512496,-17.6932,-45.1470871369069,-62.8402871369069,-11.5255,-29.4091940856573,-40.9346940856573
110,33000,91953.80105901,124953.80105901,6.4614,16.4873165298805,22.9487165298805,-17.6932,-45.1470871369069,-62.8402871369069,-11.2318,-28.6597706070264,-39.8915706070264
115,33000,91953.80105901,124953.80105901,6.7551,17.2367400085114,23.9918400085114,-17.6932,-45.1470871369069,-62.8402871369069,-10.9381,-27.9103471283954,-38.8484471283954
120,33000,91953.80105901,124953.80105901,7.0488,17.9861634871424,25.0349634871424,-17.6932,-45.1470871369069,-62.8402871369069,-10.6444,-27.1609236497645,-37.8053236497645
125,33000,91953.80105901,124953.80105901,7.3425,18.7355869657733,26.0780869657733,-17.6932,-45.1470871369069,-62.8402871369069,-10.3507,-26.4115001711336,-36.7622001711336
130,33000,91953.80105901,124953.80105901,7.6362,19.4850104444042,27.1212104444042,-17.6932,-45.1470871369069,-62.8402871369069,-10.057,-25.6620766925026,-35.7190766925026
135,33000,91953.80105901,124953.80105901,7.9299,20.2344339230352,28.1643339230352,-17.6932,-45.1470871369069,-62.8402871369069,-9.7633,-24.9126532138717,-34.6759532138717
140,33000,91953.80105901,124953.80105901,8.2236,20.9838574016661,29.2074574016661,-17.6932,-45.1470871369069,-62.8402871369069,-9.4696,-24.1632297352408,-33.6328297352408
145,33000,91953.80105901,124953.80105901,8.5173,21.733280880297,30.250580880297,-17.6932,-45.1470871369069,-62.8402871369069,-9.1759,-23.4138062566098,-32.5897062566098
150,33000,91953.80105901,124953.80105901,8.811,22.4827043589279,31.293704358928,-17.6932,-45.1470871369069,-62.8402871369069,-8.8822,-22.6643827779789,-31.5465827779789
155,33000,91953.80105901,124953.80105901,9.1047,23.2321278375589,32.3368278375589,-17.6932,-45.1470871369069,-62.8402871369069,-8.5885,-21.914959299348,-30.503459299348
160,33000,91953.80105901,124953.80105901,9.3984,23.9815513161898,33.3799513161898,-17.6932,-45.1470871369069,-62.8402871369069,-8.2948,-21.165535820717,-29.460335820717
165,33000,91953.80105901,124953.80105901,9.6921,24.7309747948207,34.4230747948207,-17.6932,-45.1470871369069,-62.8402871369069,-8.0011,-20.4161123420861,-28.4172123420861
170,33000,91953.80105901,124953.80105901,9.9858,25.4803982734517,35.4661982734517,-17.6932,-45.1470871369069,-62.8402871369069,-7.7074,-19.6666888634552,-27.3740888634552
175,33000,91953.80105901,124953.80105901,10.2795,26.2298217520826,36.5093217520826,-17.6932,-45.1470871369069,-62.8402871369069,-7.4137,-18.9172653848243,-26.3309653848243
180,33000,91953.80105901,124953.80105901,10.5732,26.9792452307135,37.5524452307135,-17.6932,-45.1470871369069,-62.8402871369069,-7.12,-18.1678419061933,-25.2878419061933
185,33000,91953.80105901,124953.80105901,10.8669,27.7286687093445,38.5955687093445,-17.6932,-45.1470871369069,-62.8402871369069,-6.8263,-17.4184184275624,-24.2447184275624
190,33000,91953.80105901,124953.80105901,11.1606,28.4780921879754,39.6386921879754,-17.6932,-45.1470871369069,-62.8402871369069,-6.5326,-16.6689949489315,-23.2015949489315
