"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3"
"130","Trettin et al. 2020","Ruffiji",22,"Deltaic mangrove",2015,-7.83765,39.270828,0.45,1.1,1.77,0.08,1.12
"131","Trettin et al. 2020","Ruffiji",22,"Deltaic mangrove",2015,-7.83765,39.270828,1.1,1.85,1.45,0.07,1.04
"132","Trettin et al. 2020","Ruffiji",22,"Deltaic mangrove",2015,-7.83765,39.270828,1.85,2,1.31,0.07,0.97
"133","Trettin et al. 2020","Ruffiji",23,"Deltaic mangrove",2015,-7.85189,39.319852,0,0.15,NA,NA,NA
"134","Trettin et al. 2020","Ruffiji",23,"Deltaic mangrove",2015,-7.85189,39.319852,0.15,0.3,NA,NA,NA
"135","Trettin et al. 2020","Ruffiji",23,"Deltaic mangrove",2015,-7.85189,39.319852,0.3,0.45,NA,NA,NA
"136","Trettin et al. 2020","Ruffiji",23,"Deltaic mangrove",2015,-7.85189,39.319852,0.45,1.1,NA,NA,NA
"137","Trettin et al. 2020","Ruffiji",23,"Deltaic mangrove",2015,-7.85189,39.319852,1.1,1.85,NA,NA,NA
"138","Trettin et al. 2020","Ruffiji",23,"Deltaic mangrove",2015,-7.85189,39.319852,1.85,2,NA,NA,NA
"139","Trettin et al. 2020","Ruffiji",24,"Deltaic mangrove",2015,-7.765002,39.291276,0,0.15,1.52,0.11,0.85
"140","Trettin et al. 2020","Ruffiji",24,"Deltaic mangrove",2015,-7.765002,39.291276,0.15,0.3,1.26,0.1,0.83
"141","Trettin et al. 2020","Ruffiji",24,"Deltaic mangrove",2015,-7.765002,39.291276,0.3,0.45,1.34,0.1,0.76
"142","Trettin et al. 2020","Ruffiji",24,"Deltaic mangrove",2015,-7.765002,39.291276,0.45,1.1,2.7,0.13,0.75
"143","Trettin et al. 2020","Ruffiji",24,"Deltaic mangrove",2015,-7.765002,39.291276,1.1,1.85,2.28,0.06,1.38
"144","Trettin et al. 2020","Ruffiji",24,"Deltaic mangrove",2015,-7.765002,39.291276,1.85,2,NA,NA,NA
"145","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,0,0.15,2.07,0.14,0.72
"146","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,0.15,0.3,1.6,0.12,0.73
"147","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,0.3,0.45,1.67,0.12,0.71
"148","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,0.45,1.1,1.57,0.1,0.76
"149","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,1.1,1.85,2.07,0.1,0.89
"150","Trettin et al. 2020","Ruffiji",25,"Deltaic mangrove",2015,-7.782773,39.284373,1.85,2,2.26,0.1,0.69
"151","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0,0.15,2.2,0.14,0.89
"152","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0.15,0.3,2.01,0.13,1
"153","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0.3,0.45,1.73,0.13,0.81
"154","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,0.45,1.1,1.65,0.12,1.13
"155","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,1.1,1.85,2.7,0.12,0.85
"156","Trettin et al. 2020","Ruffiji",26,"Deltaic mangrove",2015,-7.794873,39.300623,1.85,2,2.87,0.12,0.8
"157","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0,0.15,2.85,0.16,0.84
"158","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0.15,0.3,1.7,0.12,0.91
"159","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0.3,0.45,1.31,0.1,1.08
"160","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,0.45,1.1,1.11,0.08,1.01
"161","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,1.1,1.85,2.08,0.1,0.96
"162","Trettin et al. 2020","Ruffiji",27,"Deltaic mangrove",2015,-7.799935,39.359471,1.85,2,1.66,0.07,1.01
"163","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0,0.15,4.18,0.19,0.59
"164","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0.15,0.3,2.54,0.12,0.77
"165","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0.3,0.45,3.59,0.15,0.7
"166","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,0.45,1.1,2.82,0.11,0.8
"167","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,1.1,1.85,3.08,0.11,0.8
"168","Trettin et al. 2020","Ruffiji",28,"Deltaic mangrove",2015,-7.803327,39.276501,1.85,2,1.8,0.08,0.93
"169","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0,0.15,2.59,0.14,0.66
"170","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0.15,0.3,1.6,0.09,0.89
"171","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0.3,0.45,1.96,0.1,0.91
"172","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,0.45,1.1,2.2,0.08,1.26
"173","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,1.1,1.85,NA,NA,NA
"174","Trettin et al. 2020","Ruffiji",29,"Deltaic mangrove",2015,-7.81566,39.353932,1.85,2,NA,NA,NA
"175","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0,0.15,1.39,0.05,1.24
"176","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0.15,0.3,1.24,0.05,1.29
"177","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0.3,0.45,1.07,0.04,1.36
"178","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,0.45,1.1,0.8,0.03,1.52
"179","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,1.1,1.85,NA,NA,NA
"180","Trettin et al. 2020","Ruffiji",30,"Deltaic mangrove",2015,-7.817536,39.356946,1.85,2,NA,NA,NA
"181","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0,0.15,2.32,0.15,0.8
"182","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0.15,0.3,2.78,0.15,0.8
"183","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0.3,0.45,4.19,0.17,0.68
"184","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,0.45,1.1,4.07,0.16,0.58
"185","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,1.1,1.85,2.74,0.11,0.86
"186","Trettin et al. 2020","Ruffiji",31,"Deltaic mangrove",2015,-7.825313,39.324718,1.85,2,2.67,0.1,0.72
"187","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0,0.15,2.83,0.17,0.73
"188","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0.15,0.3,3.18,0.19,0.68
"189","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0.3,0.45,3.25,0.16,0.71
"190","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,0.45,1.1,2.97,0.14,0.68
"191","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,1.1,1.85,2.05,0.1,0.75
"192","Trettin et al. 2020","Ruffiji",32,"Deltaic mangrove",2015,-7.838843,39.336653,1.85,2,2.23,0.11,0.73
