study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,21,,Deltaic mangrove,mangrove,2015,-7.828303,39.322083,0.45,1.1,2.39,0.11,,0.84,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,21,,Deltaic mangrove,mangrove,2015,-7.828303,39.322083,1.1,1.85,1.75,0.09,,1.01,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,21,,Deltaic mangrove,mangrove,2015,-7.828303,39.322083,1.85,2,1.49,0.08,,0.98,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,22,,Deltaic mangrove,mangrove,2015,-7.83765,39.270828,0,0.15,2.63,0.18,,0.78,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,22,,Deltaic mangrove,mangrove,2015,-7.83765,39.270828,0.15,0.3,2.94,0.14,,0.92,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,22,,Deltaic mangrove,mangrove,2015,-7.83765,39.270828,0.3,0.45,4.08,0.13,,0.92,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,22,,Deltaic mangrove,mangrove,2015,-7.83765,39.270828,0.45,1.1,1.77,0.08,,1.12,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,22,,Deltaic mangrove,mangrove,2015,-7.83765,39.270828,1.1,1.85,1.45,0.07,,1.04,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,22,,Deltaic mangrove,mangrove,2015,-7.83765,39.270828,1.85,2,1.31,0.07,,0.97,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,23,,Deltaic mangrove,mangrove,2015,-7.85189,39.319852,0,0.15,,,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,23,,Deltaic mangrove,mangrove,2015,-7.85189,39.319852,0.15,0.3,,,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,23,,Deltaic mangrove,mangrove,2015,-7.85189,39.319852,0.3,0.45,,,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,23,,Deltaic mangrove,mangrove,2015,-7.85189,39.319852,0.45,1.1,,,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,23,,Deltaic mangrove,mangrove,2015,-7.85189,39.319852,1.1,1.85,,,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,23,,Deltaic mangrove,mangrove,2015,-7.85189,39.319852,1.85,2,,,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,24,,Deltaic mangrove,mangrove,2015,-7.765002,39.291276,0,0.15,1.52,0.11,,0.85,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,24,,Deltaic mangrove,mangrove,2015,-7.765002,39.291276,0.15,0.3,1.26,0.1,,0.83,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,24,,Deltaic mangrove,mangrove,2015,-7.765002,39.291276,0.3,0.45,1.34,0.1,,0.76,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,24,,Deltaic mangrove,mangrove,2015,-7.765002,39.291276,0.45,1.1,2.7,0.13,,0.75,
